"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\negoc\Documents\concursoCartelesEscuela\public\404.html", "HTML", 0, 32, 0, 0, 2, 34
"d:\negoc\Documents\concursoCartelesEscuela\public\adminCarteles.html", "HTML", 0, 33, 0, 0, 6, 39
"d:\negoc\Documents\concursoCartelesEscuela\public\adminJueces.html", "HTML", 0, 87, 0, 0, 6, 93
"d:\negoc\Documents\concursoCartelesEscuela\public\adminPreguntas.html", "HTML", 0, 33, 0, 0, 5, 38
"d:\negoc\Documents\concursoCartelesEscuela\public\index.html", "HTML", 0, 58, 0, 3, 5, 66
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\DBDriver.js", "JavaScript", 0, 0, 49, 0, 4, 53
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\juez.js", "JavaScript", 0, 0, 7, 19, 1, 27
"d:\negoc\Documents\concursoCartelesEscuela\public\js\adminJuecesCodigo.js", "JavaScript", 0, 0, 156, 0, 14, 170
"d:\negoc\Documents\concursoCartelesEscuela\public\js\nueva-evaluacionCodigo.js", "JavaScript", 0, 0, 33, 0, 8, 41
"d:\negoc\Documents\concursoCartelesEscuela\public\nueva-evaluacion.html", "HTML", 0, 57, 0, 0, 6, 63
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\adminJuecesStyle.css", "CSS", 43, 0, 0, 0, 9, 52
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\diseñoBase.css", "CSS", 91, 0, 0, 0, 18, 109
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\nuevaEvaluacionStyle.css", "CSS", 11, 0, 0, 0, 1, 12
"Total", "-", 145, 300, 245, 22, 85, 797